ags,kurz_name,wald_19_qm,sied_verk_19_qm,landwirt_19_qm,verkehr_19_qm,sied_verk_qm_ew_19
"09678453","Hundelshausen",96.4,3.2,0.2,3.2,0
"09678454","Nonnenkloster",97.5,1.9,0.5,1.9,0
"09678455","Stollbergerforst",96.6,2.6,0.7,2.6,0
"09678456","Vollburg",97.3,2.4,0,2.4,0
"09678457","Wustvieler Forst",97.1,2.2,0.6,2.2,0
"09679126","Eisingen",10.1,26.3,58.8,7.7,412
"09679134","Gaukönigshofen",1,8.8,86.7,5.1,1140
"09679136","Gerbrunn",4.1,35.2,45.9,7.1,249
"09679142","Güntersleben",24.8,13.4,55.1,5.5,480
"09679143","Hausen b.Würzburg",16.1,12.8,69.1,7.4,1145
"09679147","Höchberg, M",16.1,40,38.2,9.6,318
"09679155","Kleinrinderfeld",5.3,17.4,72.8,5.8,641
"09679156","Kürnach",14.5,21.2,59.9,9.1,545
"09679164","Neubrunn, M",33.4,8.8,54.7,4.9,1011
"09679170","Ochsenfurt, St",10.9,13.1,69.9,5.7,739
"09679175","Randersacker, M",11.1,14.9,57.9,7.9,713
"09679176","Reichenberg, M",16.4,11.1,70.1,5.1,939
"09679180","Rimpar, M",34.4,11.6,49.9,5,552
"09679185","Rottendorf",10,21.4,63.3,10.4,594
"09679193","Theilheim",11.3,14.5,68.9,7.6,595
"09679194","Thüngersheim",26.4,17.7,41.9,9.2,723
"09679200","Leinach",30.3,10.1,54.6,4.9,903
"09679201","Unterpleichfeld",10.2,11.8,76.4,5.7,926
"09679202","Veitshöchheim",21.8,39.9,29.7,8.6,451
"09679204","Waldbrunn",5.1,24.2,63.6,11.1,562
"09679205","Waldbüttelbrunn",21.4,14.7,56,6.5,576
"09679209","Zell a.Main, M",45.4,15.7,33.4,5.9,353
"09679114","Aub, St",10.4,10.4,73.1,5.5,1264
"09679135","Gelchsheim, M",4.3,9.5,85,4.6,1847
"09679188","Sonderhofen",0.3,7.8,90.2,4.4,1757
"09679117","Bergtheim",9,11.2,78,5.4,776
"09679169","Oberpleichfeld",0.3,11.8,86.6,6,904
"09679124","Eibelstadt, St",11.2,24.7,44,9.9,569
"09679131","Frickenhausen a.Main, M",18.3,13.8,54.6,8.7,1173
"09679187","Sommerhausen, M",15.7,19.6,53.9,9.3,745
"09679206","Winterhausen, M",14.8,17,55,8.5,1087
"09679130","Estenfeld",14.7,18.3,63.1,9.5,632
"09679167","Eisenheim, M",15.5,12.2,62.4,7.2,1059
"09679174","Prosselsheim",10.3,8.9,78.9,4.8,1510
"09679122","Bütthard, M",15.7,6.8,75.8,4.1,1877
"09679138","Giebelstadt, M",2.6,14.1,81.4,7.2,1227
"09679144","Helmstadt, M",25.6,13,57.3,7.5,1099
"09679149","Holzkirchen",38.6,11.1,46.6,5.8,988
"09679177","Remlingen, M",28.8,8.9,59.7,4.8,1207
"09679196","Uettingen",32.2,14.2,50,6.9,1030
"09679137","Geroldshausen",0.3,17.9,77,5.6,1391
"09679153","Kirchheim",13.3,10.7,64.7,4.7,954
"09679154","Kist",5.2,32.1,57.2,13.3,468
"09679165","Altertheim",21.9,9.6,66.1,5.6,1158
"09679128","Erlabrunn",18.6,24.3,43.5,10,543
"09679161","Margetshöchheim",18.2,19.8,46.8,6.9,421
"09679118","Bieberehren",16.8,8.8,67,5.6,1439
"09679179","Riedenheim",31.4,7.9,59,4.5,2694
"09679182","Röttingen, St",30.8,8.7,55.8,4.9,1427
"09679192","Tauberrettersheim",19.2,10.7,63.6,6.2,1056
"09679141","Greußenheim",28.6,9.2,57.4,5,1030
"09679146","Hettstadt",15.4,12.7,68.5,5.5,488
"09679451","Gramschatzer Wald",96.7,2.6,0.6,2.4,0
